# Precios industriales: aparatos domésticos (NACE C27.5) (FR)
# Unidad: índice 2021=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-23T10:24:06+00:00
date,value
1996-11-01,117.3
1996-12-01,117.2
1997-01-01,118.2
1997-02-01,117.8
1997-03-01,117.7
1997-04-01,117.6
1997-05-01,117.8
1997-06-01,117.9
1997-07-01,119.5
1997-08-01,119.5
1997-09-01,119
1997-10-01,119.1
1997-11-01,119.7
1997-12-01,119.4
1998-01-01,119.5
1998-02-01,119.3
1998-03-01,118.2
1998-04-01,117.7
1998-05-01,117.6
1998-06-01,117
1998-07-01,116.7
1998-08-01,116.7
1998-09-01,117
1998-10-01,115.9
1998-11-01,115.9
1998-12-01,114.8
1999-01-01,115.1
1999-02-01,113.1
1999-03-01,112.7
1999-04-01,112.4
1999-05-01,112.9
1999-06-01,113.1
1999-07-01,113.7
1999-08-01,113.7
1999-09-01,113.7
1999-10-01,114.1
1999-11-01,114.1
1999-12-01,114
2000-01-01,113.9
2000-02-01,113.4
2000-03-01,112.9
2000-04-01,112.6
2000-05-01,111.9
2000-06-01,112
2000-07-01,112.1
2000-08-01,112.9
2000-09-01,113.2
2000-10-01,112.9
2000-11-01,113.3
2000-12-01,113
2001-01-01,114
2001-02-01,115.2
2001-03-01,115.1
2001-04-01,115
2001-05-01,114.7
2001-06-01,114.4
2001-07-01,114.9
2001-08-01,115.3
2001-09-01,115.1
2001-10-01,114.9
2001-11-01,114.2
2001-12-01,114.3
2002-01-01,114.4
2002-02-01,114.2
2002-03-01,114.7
2002-04-01,114
2002-05-01,113.3
2002-06-01,113
2002-07-01,112.7
2002-08-01,113
2002-09-01,113.4
2002-10-01,113.5
2002-11-01,113.5
2002-12-01,113
2003-01-01,113.5
2003-02-01,113.2
2003-03-01,113.1
2003-04-01,113
2003-05-01,114
2003-06-01,114.5
2003-07-01,114.2
2003-08-01,113.8
2003-09-01,113.2
2003-10-01,113.2
2003-11-01,112.7
2003-12-01,112.4
2004-01-01,112.7
2004-02-01,111.2
2004-03-01,111.4
2004-04-01,111.4
2004-05-01,110.6
2004-06-01,109
2004-07-01,109
2004-08-01,109.8
2004-09-01,111.2
2004-10-01,110.8
2004-11-01,111.4
2004-12-01,111.5
2005-01-01,112.3
2005-02-01,110.6
2005-03-01,111.3
2005-04-01,110.7
2005-05-01,110.8
2005-06-01,111.1
2005-07-01,110.2
2005-08-01,109.2
2005-09-01,109.3
2005-10-01,110.4
2005-11-01,109.9
2005-12-01,110.6
2006-01-01,110.3
2006-02-01,109.1
2006-03-01,107.6
2006-04-01,107.7
2006-05-01,108.1
2006-06-01,108
2006-07-01,107.9
2006-08-01,107.6
2006-09-01,108
2006-10-01,108.3
2006-11-01,108.7
2006-12-01,108.1
2007-01-01,108.6
2007-02-01,108.8
2007-03-01,109.3
2007-04-01,108
2007-05-01,109.7
2007-06-01,109.2
2007-07-01,109
2007-08-01,108.9
2007-09-01,108.3
2007-10-01,108
2007-11-01,108.8
2007-12-01,108.7
2008-01-01,110.2
2008-02-01,111
2008-03-01,111.6
2008-04-01,111.4
2008-05-01,110.6
2008-06-01,111
2008-07-01,111.1
2008-08-01,111
2008-09-01,110.8
2008-10-01,111.1
2008-11-01,109.3
2008-12-01,109.6
2009-01-01,110.2
2009-02-01,109.8
2009-03-01,110.3
2009-04-01,110.6
2009-05-01,109.8
2009-06-01,108.5
2009-07-01,108
2009-08-01,108.3
2009-09-01,107.7
2009-10-01,107.6
2009-11-01,107.3
2009-12-01,108.3
2010-01-01,109.2
2010-02-01,107.9
2010-03-01,107.6
2010-04-01,103.6
2010-05-01,102.6
2010-06-01,103.7
