# Precios industriales: colorantes y pigmentos (NACE C20.12) (FR)
# Unidad: índice 2021=100
# Fuente: Eurostat - https://ec.europa.eu/eurostat
# Licencia: CC BY 4.0 - https://ec.europa.eu/eurostat/web/main/help/copyright-notice
# Cita obligatoria: Fuente: Eurostat
# Recopilado por Observatorio de precios de cristalesparachimeneas.es - generado 2026-09-18T08:30:37+00:00
date,value
1980-01-01,42.9
1980-02-01,42.9
1980-03-01,42.9
1980-04-01,43.7
1980-05-01,43.7
1980-06-01,43.7
1980-07-01,44.4
1980-08-01,44.4
1980-09-01,44.4
1980-10-01,43.3
1980-11-01,43.3
1980-12-01,43.3
1981-01-01,42.7
1981-02-01,42.7
1981-03-01,42.7
1981-04-01,44.1
1981-05-01,44.1
1981-06-01,44.1
1981-07-01,45.2
1981-08-01,45.2
1981-09-01,45.2
1981-10-01,45.5
1981-11-01,45.5
1981-12-01,45.5
1982-01-01,46.7
1982-02-01,46.7
1982-03-01,46.7
1982-04-01,47.4
1982-05-01,47.4
1982-06-01,47.4
1982-07-01,47.4
1982-08-01,47.4
1982-09-01,47.4
1982-10-01,47.9
1982-11-01,47.9
1982-12-01,47.9
1983-01-01,49.1
1983-02-01,49.1
1983-03-01,49.1
1983-04-01,48.6
1983-05-01,48.6
1983-06-01,48.6
1983-07-01,48.8
1983-08-01,48.8
1983-09-01,48.8
1983-10-01,52.2
1983-11-01,52.2
1983-12-01,52.2
1984-01-01,54.2
1984-02-01,54.2
1984-03-01,54.2
1984-04-01,55.3
1984-05-01,55.3
1984-06-01,55.3
1984-07-01,56.7
1984-08-01,56.7
1984-09-01,56.7
1984-10-01,56.3
1984-11-01,56.3
1984-12-01,56.3
1985-01-01,57.1
1985-02-01,57.1
1985-03-01,57.1
1985-04-01,59.6
1985-05-01,59.6
1985-06-01,59.6
1985-07-01,59.9
1985-08-01,59.9
1985-09-01,59.9
1985-10-01,59.2
1985-11-01,59.2
1985-12-01,59.2
1986-01-01,58
1986-02-01,58
1986-03-01,58
1986-04-01,58.7
1986-05-01,58.7
1986-06-01,58.7
1986-07-01,58.4
1986-08-01,58.4
1986-09-01,58.4
1986-10-01,59.2
1986-11-01,59.2
1986-12-01,59.2
1987-01-01,58
1987-02-01,58
1987-03-01,58
1987-04-01,58.7
1987-05-01,58.7
1987-06-01,58.7
1987-07-01,58.4
1987-08-01,58.4
1987-09-01,58.4
1987-10-01,59.6
1987-11-01,59.6
1987-12-01,59.6
1988-01-01,59.2
1988-02-01,59.2
1988-03-01,59.2
1988-04-01,61
1988-05-01,61
1988-06-01,61
1988-07-01,62.9
1988-08-01,62.9
1988-09-01,62.9
1988-10-01,61.7
1988-11-01,61.7
1988-12-01,61.7
1989-01-01,65.6
1989-02-01,65.6
1989-03-01,65.6
1989-04-01,66.8
1989-05-01,66.9
1989-06-01,66.6
1989-07-01,67.9
1989-08-01,67.9
1989-09-01,68
1989-10-01,67.8
1989-11-01,67.8
1989-12-01,68.1
1990-01-01,67.7
1990-02-01,68.8
1990-03-01,69.2
1990-04-01,69.7
1990-05-01,70
1990-06-01,70
1990-07-01,69
1990-08-01,68.8
1990-09-01,69
1990-10-01,68.1
1990-11-01,67.6
1990-12-01,67.5
1991-01-01,69.4
1991-02-01,68.1
1991-03-01,68
1991-04-01,68
1991-05-01,67.6
1991-06-01,67.2
1991-07-01,66.8
1991-08-01,66.6
1991-09-01,66.6
1991-10-01,66.5
1991-11-01,66.5
1991-12-01,66.5
1992-01-01,68.1
1992-02-01,68.1
1992-03-01,68.1
1992-04-01,68.5
1992-05-01,68.8
1992-06-01,68.6
1992-07-01,70.2
1992-08-01,69.4
1992-09-01,69
1992-10-01,68.1
1992-11-01,67.8
1992-12-01,67.3
1993-01-01,66.9
1993-02-01,66.9
1993-03-01,66.4
1993-04-01,66.1
1993-05-01,65.6
1993-06-01,65.2
1993-07-01,65
1993-08-01,64.9
1993-09-01,64.9
1993-10-01,65
1993-11-01,65.3
1993-12-01,64.7
1994-01-01,66.4
1994-02-01,66.3
1994-03-01,66.5
1994-04-01,66.1
1994-05-01,66.2
1994-06-01,66.2
1994-07-01,66.4
1994-08-01,66.3
1994-09-01,66.1
1994-10-01,67.9
1994-11-01,68.1
1994-12-01,68.1
1995-01-01,69.3
1995-02-01,69.3
1995-03-01,70.1
1995-04-01,71.7
1995-05-01,71.9
1995-06-01,72.7
1995-07-01,72.8
1995-08-01,72.7
1995-09-01,73.5
1995-10-01,72.8
1995-11-01,74
1995-12-01,72.7
1996-01-01,73.9
1996-02-01,72.4
1996-03-01,73.2
1996-04-01,72.7
1996-05-01,71.5
1996-06-01,72.4
1996-07-01,70.8
1996-08-01,69.5
1996-09-01,68.8
1996-10-01,68.8
1996-11-01,68.6
1996-12-01,68.1
1997-01-01,68
1997-02-01,67.9
1997-03-01,68.2
1997-04-01,68.1
1997-05-01,67.9
1997-06-01,67.9
1997-07-01,68.5
1997-08-01,68.6
1997-09-01,69
1997-10-01,69.2
1997-11-01,69.1
1997-12-01,68.5
1998-01-01,68.9
1998-02-01,68.8
1998-03-01,69.7
1998-04-01,68.8
1998-05-01,68.8
1998-06-01,68.1
1998-07-01,68.1
1998-08-01,68.6
1998-09-01,69.3
1998-10-01,68.9
1998-11-01,68.8
1998-12-01,68.9
1999-01-01,68.8
1999-02-01,68.8
1999-03-01,68.8
1999-04-01,67.3
1999-05-01,66.1
1999-06-01,66.2
1999-07-01,65.7
1999-08-01,65.6
1999-09-01,65.6
1999-10-01,66.1
1999-11-01,65.9
1999-12-01,64.9
2000-01-01,64.9
2000-02-01,65.2
2000-03-01,65.3
2000-04-01,65.3
2000-05-01,62.7
2000-06-01,65.2
2000-07-01,67.6
2000-08-01,67
2000-09-01,64.4
2000-10-01,65.9
2000-11-01,64.2
2000-12-01,63.1
2001-01-01,64.8
2001-02-01,63.9
2001-03-01,63.8
2001-04-01,61.8
2001-05-01,63.9
2001-06-01,62.8
2001-07-01,62
2001-08-01,63.1
2001-09-01,62.6
2001-10-01,61.8
2001-11-01,61.1
2001-12-01,60.9
2002-01-01,59.6
2002-02-01,59.4
2002-03-01,56.2
2002-04-01,55.8
2002-05-01,58
2002-06-01,58
2002-07-01,57.9
2002-08-01,57.5
2002-09-01,57.4
2002-10-01,57.3
2002-11-01,58
2002-12-01,57.7
2003-01-01,57.2
2003-02-01,57.3
2003-03-01,57.2
2003-04-01,57
2003-05-01,56.6
2003-06-01,56.4
2003-07-01,56.3
2003-08-01,56.2
2003-09-01,56.3
2003-10-01,55.8
2003-11-01,56
2003-12-01,56
2004-01-01,56.1
2004-02-01,56.2
2004-03-01,57.1
2004-04-01,56.9
2004-05-01,57
2004-06-01,57.4
2004-07-01,57.5
2004-08-01,57.4
2004-09-01,57
2004-10-01,57.5
2004-11-01,57.7
2004-12-01,58.4
2005-01-01,58.7
2005-02-01,59
2005-03-01,59.4
2005-04-01,59.2
2005-05-01,58.9
2005-06-01,59
2005-07-01,59.3
2005-08-01,60
2005-09-01,60.5
2005-10-01,61.6
2005-11-01,61.8
2005-12-01,61.4
2006-01-01,62.2
2006-02-01,62.3
2006-03-01,62.3
2006-04-01,61.3
2006-05-01,61.6
2006-06-01,61.9
2006-07-01,61.8
2006-08-01,61.5
2006-09-01,62.4
2006-10-01,62.4
2006-11-01,62.3
2006-12-01,61.7
2007-01-01,61.8
2007-02-01,61.1
2007-03-01,61
2007-04-01,60.5
2007-05-01,60.3
2007-06-01,61.1
2007-07-01,60.9
2007-08-01,60.7
2007-09-01,61.1
2007-10-01,60.9
2007-11-01,61.1
2007-12-01,60.7
2008-01-01,59.2
2008-02-01,58.9
2008-03-01,59.4
2008-04-01,59.9
2008-05-01,59
2008-06-01,59.8
2008-07-01,59.7
2008-08-01,61.1
2008-09-01,59.8
2008-10-01,60.1
2008-11-01,60.5
2008-12-01,61.1
2009-01-01,60.8
2009-02-01,60.7
2009-03-01,59
2009-04-01,57.5
2009-05-01,57
2009-06-01,56.3
2009-07-01,57.6
2009-08-01,57
2009-09-01,55.8
2009-10-01,56
2009-11-01,55.6
2009-12-01,55.8
2010-01-01,55.8
2010-02-01,56.3
2010-03-01,56.2
2010-04-01,56.9
2010-05-01,57.5
2010-06-01,57
2010-07-01,59
2010-08-01,59.5
2010-09-01,60.4
2010-10-01,61.1
2010-11-01,63.9
2010-12-01,62.4
2011-01-01,64.5
2011-02-01,64.8
2011-03-01,65.4
2011-04-01,67
2011-05-01,67.9
2011-06-01,69.3
2011-07-01,72.5
2011-08-01,74.1
2011-09-01,76.8
2011-10-01,79.5
2011-11-01,80.6
2011-12-01,82.2
2012-01-01,83.3
2012-02-01,83.6
2012-03-01,83.9
2012-04-01,84.3
2012-05-01,85.1
2012-06-01,85.6
2012-07-01,85.3
2012-08-01,83.8
2012-09-01,83.5
2012-10-01,82.7
2012-11-01,82.2
2012-12-01,81.6
2013-01-01,78.8
2013-02-01,78
2013-03-01,79.5
2013-04-01,79.3
2013-05-01,79.5
2013-06-01,79.5
2013-07-01,79.7
2013-08-01,79.5
2013-09-01,79.1
2013-10-01,79.3
2013-11-01,79.6
2013-12-01,79.6
2014-01-01,79
2014-02-01,83.3
2014-03-01,83
2014-04-01,82.8
2014-05-01,82.8
2014-06-01,83.1
2014-07-01,83.1
2014-08-01,82.9
2014-09-01,82.8
2014-10-01,82.9
2014-11-01,84.5
2014-12-01,84.1
2015-01-01,88.3
2015-02-01,88.3
